Student_ID,Name,Gender,City,Course,Subject,Marks,Attendance (%),Study_Hours,Semester,Target
44,Student_44,Female,Mumbai,BCom,Computer,37,82,5,1,44
45,Student_45,Female,Bangalore,BSc,Science,40,60,1.4,6,45
46,Student_46,Female,Kolkata,BCom,Computer,42,84,2.9,2,46
47,Student_47,Female,Chennai,BTech,Science,78,61,2.9,3,47
48,Student_48,Male,Mumbai,BCom,English,67,89,5.4,3,48
49,Student_49,Female,Bangalore,BCom,Maths,,62,1.8,1,49
50,Student_50,Female,Bangalore,BBA,Maths,,80,1.8,5,50
51,Student_51,Male,Kolkata,BA,Computer,,84,2.6,6,51
52,Student_52,Female,Delhi,BA,Maths,75,79,1.3,6,52
53,Student_53,Male,Bangalore,BTech,Computer,50,81,1.9,2,53
54,Student_54,Female,Bangalore,BTech,Computer,82,80,5.8,3,54
55,Student_55,Male,Bangalore,BA,Computer,90,92,3.1,4,55
56,Student_56,Female,Bangalore,BBA,Maths,98,97,4.2,3,56
57,Student_57,Female,Pune,BA,Computer,,74,4.6,2,57
58,Student_58,Male,Pune,BBA,Maths,96,74,2.8,3,58
59,Student_59,Male,Delhi,BTech,Computer,,84,1.7,1,59
60,Student_60,Male,Mumbai,BSc,Economics,52,80,2,3,60
61,Student_61,Male,Bangalore,BTech,Computer,53,83,2.6,3,61
62,Student_62,Male,Kolkata,BTech,Science,89,64,4.2,4,62
63,Student_63,Male,Mumbai,BCom,Computer,,65,3,1,63
64,Student_64,Male,Kolkata,BCom,English,40,82,1,1,64
65,Student_65,Male,Mumbai,BCom,Computer,38,63,3.6,3,65
66,Student_66,Female,Delhi,BCom,Science,63,86,5.6,6,66
67,Student_67,Female,Bangalore,BBA,Science,,77,5.1,4,67
68,Student_68,Male,Bangalore,BA,Maths,,80,5.1,3,68
69,Student_69,Female,Chennai,BSc,Economics,77,87,5,3,69
70,Student_70,Female,Kolkata,BTech,Computer,68,94,2.6,2,70
71,Student_71,Female,Mumbai,BBA,Maths,42,81,4.8,2,71
72,Student_72,Female,Mumbai,BSc,Economics,47,99,1.7,6,72
73,Student_73,Male,Pune,BBA,Computer,42,82,4.3,4,73
74,Student_74,Female,Chennai,BBA,English,99,62,4.2,5,74
75,Student_75,Male,Pune,BTech,Computer,77,99,1.1,2,75
76,Student_76,Female,Pune,BA,Science,73,69,4.9,5,76
77,Student_77,Female,Pune,BCom,Science,,84,5.5,1,77
78,Student_78,Female,Kolkata,BA,English,78,67,2.3,2,78
79,Student_79,Male,Kolkata,BTech,Maths,43,70,5.1,2,79
80,Student_80,Female,Delhi,BTech,Economics,71,64,1.4,4,80
81,Student_81,Male,Delhi,BTech,Computer,70,96,4,6,81
82,Student_82,Female,Pune,BSc,Science,,97,3.4,5,82
83,Student_83,Male,Chennai,BA,Maths,76,88,3.7,2,83
84,Student_84,Female,Mumbai,BA,English,77,64,5.6,2,84
85,Student_85,Male,Kolkata,BBA,Science,76,68,5.4,4,85
86,Student_86,Male,Chennai,BBA,English,89,61,4.9,4,86
87,Student_87,Female,Bangalore,BBA,Computer,82,60,2.4,6,87
88,Student_88,Male,Kolkata,BTech,Economics,56,99,5.6,5,88
89,Student_89,Female,Kolkata,BA,Science,61,89,1.5,1,89
90,Student_90,Female,Delhi,BTech,Science,47,70,5.3,6,90
91,Student_91,Female,Mumbai,BSc,Computer,,87,2.6,1,91
92,Student_92,Female,Mumbai,BBA,Maths,,71,1.3,3,92
93,Student_93,Female,Bangalore,BTech,Economics,43,98,4.3,2,93
94,Student_94,Female,Bangalore,BTech,Science,,85,2.2,5,94
95,Student_95,Female,Kolkata,BSc,Economics,61,72,2.2,6,95
96,Student_96,Female,Pune,BCom,Science,68,67,2.5,2,96
97,Student_97,Female,Delhi,BA,Economics,35,87,1.3,5,97
98,Student_98,Female,Delhi,BCom,English,,89,1.9,5,98
99,Student_99,Female,Kolkata,BBA,Science,54,68,1,5,99
100,Student_100,Male,Chennai,BTech,Economics,69,98,3.2,2,100
101,Student_101,Male,Pune,BSc,Maths,,90,1.4,6,101
102,Student_102,Female,Kolkata,BSc,English,52,80,4.4,4,102
103,Student_103,Female,Pune,BA,English,,93,2.2,2,103
104,Student_104,Female,Pune,BCom,Maths,,90,5.7,5,104
105,Student_105,Female,Pune,BA,Economics,99,84,5.4,6,105
106,Student_106,Female,Kolkata,BTech,Computer,35,71,2.4,3,106
107,Student_107,Female,Delhi,BA,Maths,92,60,4.9,1,107
108,Student_108,Female,Delhi,BSc,Economics,,81,5,5,108
109,Student_109,Female,Pune,BSc,Maths,54,99,5.9,3,109
110,Student_110,Male,Chennai,BBA,Maths,,96,4,4,110
111,Student_111,Female,Mumbai,BBA,Science,,60,1.4,5,111
112,Student_112,Male,Kolkata,BTech,Economics,75,60,4.2,3,112
113,Student_113,Female,Mumbai,BCom,Computer,39,80,4.1,5,113
114,Student_114,Female,Chennai,BA,Science,99,74,4.2,2,114
115,Student_115,Male,Kolkata,BTech,Maths,,76,2.5,6,115
116,Student_116,Female,Pune,BBA,Maths,56,81,5.3,3,116
117,Student_117,Male,Delhi,BA,Maths,75,97,5.8,6,117
118,Student_118,Female,Mumbai,BBA,Economics,,94,2.1,2,118
119,Student_119,Female,Bangalore,BA,Economics,90,75,1.4,2,119
120,Student_120,Male,Bangalore,BCom,Science,85,67,2,6,120
121,Student_121,Female,Chennai,BTech,Computer,55,76,5.1,3,121
122,Student_122,Male,Pune,BA,Science,,76,4.4,6,122
123,Student_123,Female,Mumbai,BSc,English,53,85,4.2,6,123
124,Student_124,Male,Pune,BSc,Maths,94,72,3,1,124
125,Student_125,Male,Mumbai,BA,Maths,,76,3.9,3,125
126,Student_126,Female,Chennai,BA,Maths,,97,2.5,1,126
127,Student_127,Female,Chennai,BA,Science,74,76,3.4,5,127
128,Student_128,Male,Bangalore,BSc,Science,39,73,5,6,128
129,Student_129,Female,Pune,BSc,Maths,55,65,5.9,5,129
130,Student_130,Female,Kolkata,BA,Science,38,94,5.7,3,130
131,Student_131,Female,Bangalore,BBA,Economics,57,73,5.7,6,131
132,Student_132,Male,Pune,BBA,Economics,49,67,3,5,132
133,Student_133,Male,Bangalore,BCom,Science,42,74,3.3,4,133
134,Student_134,Male,Kolkata,BTech,Maths,75,86,4.5,2,134
135,Student_135,Male,Delhi,BBA,Science,53,72,5.6,6,135
136,Student_136,Male,Delhi,BSc,Science,80,90,1.7,2,136
137,Student_137,Male,Delhi,BBA,Science,,94,2.5,1,137
138,Student_138,Male,Delhi,BCom,English,49,65,1.7,5,138
139,Student_139,Male,Mumbai,BCom,Economics,71,64,4.1,1,139
140,Student_140,Male,Delhi,BTech,Computer,35,81,2.5,6,140
141,Student_141,Female,Kolkata,BBA,Computer,58,82,2.6,2,141
142,Student_142,Male,Chennai,BSc,English,61,84,1.4,2,142
143,Student_143,Female,Chennai,BSc,Science,74,93,2.7,5,143
144,Student_144,Female,Mumbai,BA,English,97,85,5.3,6,144
145,Student_145,Female,Delhi,BSc,English,95,64,2.2,4,145
146,Student_146,Male,Delhi,BTech,Maths,70,85,4.5,4,146
147,Student_147,Male,Delhi,BTech,Economics,58,79,4.1,5,147
148,Student_148,Male,Bangalore,BSc,Computer,58,65,5.3,6,148
149,Student_149,Male,Pune,BSc,Science,38,65,1.7,5,149
150,Student_150,Female,Bangalore,BA,Computer,68,77,5.9,6,150
151,Student_151,Male,Pune,BSc,Computer,,63,3.9,1,151
152,Student_152,Male,Delhi,BA,Economics,83,76,6,5,152
153,Student_153,Male,Delhi,BA,Computer,,73,5.6,6,153
154,Student_154,Male,Bangalore,BSc,Computer,57,73,2.1,4,154
155,Student_155,Male,Bangalore,BCom,English,,72,1.3,6,155
156,Student_156,Female,Pune,BCom,Economics,96,66,2.3,6,156
157,Student_157,Male,Chennai,BA,Maths,75,74,3.6,5,157
158,Student_158,Female,Pune,BSc,Science,,78,1.9,1,158
159,Student_159,Male,Bangalore,BCom,Computer,94,94,1.8,1,159
160,Student_160,Female,Kolkata,BSc,Science,,76,3.3,1,160
161,Student_161,Male,Bangalore,BSc,Maths,,94,1.2,1,161
162,Student_162,Male,Kolkata,BSc,Science,,78,1.6,3,162
163,Student_163,Female,Mumbai,BBA,Maths,74,79,3.1,5,163
164,Student_164,Female,Bangalore,BSc,English,41,95,1.3,2,164
165,Student_165,Female,Mumbai,BBA,Computer,72,94,3,5,165
166,Student_166,Male,Chennai,BA,Maths,95,91,3.4,3,166
167,Student_167,Female,Pune,BCom,Science,37,99,3.3,1,167
168,Student_168,Male,Kolkata,BCom,Computer,85,83,5.3,3,168
169,Student_169,Male,Pune,BCom,English,,76,3.7,4,169
170,Student_170,Female,Mumbai,BCom,Computer,72,66,3.3,4,170
171,Student_171,Female,Kolkata,BCom,Maths,70,60,3.1,5,171
172,Student_172,Male,Pune,BCom,English,75,94,5.1,5,172
173,Student_173,Male,Bangalore,BCom,Science,47,91,5.5,2,173
174,Student_174,Female,Delhi,BA,English,92,95,5.3,2,174
175,Student_175,Female,Mumbai,BSc,English,,72,4.4,4,175
176,Student_176,Female,Pune,BTech,Economics,64,65,1.7,1,176
177,Student_177,Male,Mumbai,BBA,English,96,73,2.4,3,177
178,Student_178,Male,Mumbai,BTech,English,,96,1.2,2,178
179,Student_179,Male,Kolkata,BTech,Computer,61,74,5.7,6,179
180,Student_180,Male,Kolkata,BSc,Science,85,63,4.3,2,180
181,Student_181,Male,Delhi,BSc,Computer,,99,4.7,1,181
182,Student_182,Male,Bangalore,BSc,Computer,,75,2.6,1,182
183,Student_183,Female,Mumbai,BCom,Maths,73,87,5.2,5,183
184,Student_184,Male,Pune,BA,Computer,50,75,2.3,3,184
185,Student_185,Male,Chennai,BCom,Economics,56,63,1,1,185
186,Student_186,Male,Mumbai,BA,Economics,,85,2.9,2,186
187,Student_187,Female,Mumbai,BA,Maths,55,87,3.9,2,187
188,Student_188,Male,Delhi,BTech,Science,50,91,3.4,4,188
189,Student_189,Male,Bangalore,BTech,Science,,61,5.3,1,189
190,Student_190,Female,Chennai,BA,Computer,65,90,1.5,6,190
191,Student_191,Male,Kolkata,BA,Computer,76,62,3.8,5,191
192,Student_192,Male,Kolkata,BCom,Computer,,67,3.6,3,192
193,Student_193,Male,Pune,BCom,Science,,83,2.4,6,193
194,Student_194,Male,Chennai,BTech,English,68,74,5.1,5,194
195,Student_195,Male,Kolkata,BSc,Economics,43,90,4.8,2,195
196,Student_196,Female,Pune,BA,English,,68,4.7,6,196
197,Student_197,Female,Bangalore,BCom,English,,98,5.4,5,197
198,Student_198,Female,Pune,BTech,Science,,61,4.6,2,198
199,Student_199,Male,Kolkata,BCom,English,82,67,2.2,2,199
200,Student_200,Male,Delhi,BA,Maths,,66,4.5,2,200
201,Student_201,Male,Delhi,BA,Computer,,98,2.5,2,201
202,Student_202,Female,Delhi,BBA,Maths,55,75,2.2,2,202
203,Student_203,Male,Kolkata,BSc,Economics,99,94,1.4,4,203
204,Student_204,Male,Delhi,BBA,Computer,97,89,4.7,6,204
205,Student_205,Female,Chennai,BTech,English,85,69,4.6,5,205
206,Student_206,Male,Bangalore,BCom,Economics,70,97,2.2,4,206
207,Student_207,Female,Pune,BTech,Computer,49,77,4.7,4,207
208,Student_208,Female,Pune,BA,English,73,64,5.6,1,208
209,Student_209,Female,Kolkata,BBA,Maths,35,88,1.5,1,209
210,Student_210,Male,Delhi,BBA,Computer,57,98,2.2,1,210
211,Student_211,Male,Delhi,BBA,English,73,93,4.8,3,211
212,Student_212,Male,Mumbai,BTech,Maths,,82,2.4,1,212
213,Student_213,Male,Bangalore,BA,Economics,68,64,4.1,5,213
214,Student_214,Male,Chennai,BCom,Economics,75,89,1.4,4,214
215,Student_215,Male,Pune,BCom,Economics,47,65,3.3,5,215
216,Student_216,Male,Mumbai,BTech,Economics,40,63,4.7,6,216
217,Student_217,Female,Mumbai,BBA,Science,,88,4.4,1,217
218,Student_218,Male,Kolkata,BSc,Computer,37,82,5.1,3,218
219,Student_219,Female,Pune,BTech,Computer,97,65,5.4,6,219
220,Student_220,Male,Kolkata,BTech,Science,83,91,4.9,3,220
221,Student_221,Male,Chennai,BA,English,,77,4.4,6,221
222,Student_222,Male,Mumbai,BCom,English,89,74,1.2,4,222
223,Student_223,Female,Mumbai,BTech,Economics,98,99,3.7,5,223
224,Student_224,Female,Bangalore,BTech,Maths,99,91,1.2,2,224
225,Student_225,Female,Chennai,BBA,English,49,68,5,5,225
226,Student_226,Female,Mumbai,BBA,Maths,,96,2.6,1,226
227,Student_227,Male,Chennai,BSc,Computer,52,69,3.8,2,227
228,Student_228,Female,Pune,BA,Maths,77,79,2.4,3,228
229,Student_229,Male,Delhi,BSc,Computer,69,65,4.9,4,229
230,Student_230,Male,Mumbai,BBA,Science,92,62,5.4,4,230
231,Student_231,Female,Bangalore,BCom,Science,67,70,3,3,231
232,Student_232,Female,Pune,BBA,Economics,48,76,5.3,1,232
233,Student_233,Female,Chennai,BA,English,68,91,2.3,3,233
234,Student_234,Female,Kolkata,BBA,Economics,95,63,3.7,6,234
235,Student_235,Female,Pune,BA,Computer,38,63,5.3,1,235
236,Student_236,Female,Mumbai,BA,Economics,,76,2.6,2,236
237,Student_237,Female,Chennai,BA,Maths,63,78,5.8,3,237
238,Student_238,Female,Delhi,BA,Computer,40,64,1.6,1,238
239,Student_239,Male,Pune,BA,Science,83,91,1.1,2,239
240,Student_240,Female,Mumbai,BCom,English,74,81,5.5,3,240
241,Student_241,Female,Bangalore,BSc,Computer,99,65,1.3,4,241
242,Student_242,Male,Kolkata,BTech,Computer,61,94,6,3,242
243,Student_243,Female,Chennai,BSc,Maths,40,81,5.8,5,243
244,Student_244,Male,Pune,BA,English,47,60,1.7,3,244
245,Student_245,Male,Pune,BCom,Science,98,79,3.7,5,245
246,Student_246,Female,Delhi,BBA,Computer,96,81,1.9,2,246
247,Student_247,Male,Delhi,BCom,Computer,53,70,3.1,3,247
248,Student_248,Male,Bangalore,BA,Maths,77,72,1.3,2,248
249,Student_249,Male,Kolkata,BCom,Economics,54,62,2.1,2,249
250,Student_250,Male,Bangalore,BCom,Science,78,68,2.8,1,250
251,Student_251,Female,Mumbai,BA,English,57,71,3.2,2,251
252,Student_252,Male,Mumbai,BCom,Computer,36,82,5.9,2,252
253,Student_253,Female,Bangalore,BTech,Computer,56,73,5,3,253
254,Student_254,Male,Kolkata,BTech,Science,,92,4.7,3,254
255,Student_255,Male,Bangalore,BCom,Economics,41,77,3.7,4,255
256,Student_256,Male,Kolkata,BBA,Computer,90,68,5.2,1,256
257,Student_257,Male,Kolkata,BA,Science,50,82,2.7,2,257
258,Student_258,Female,Chennai,BTech,Maths,85,69,4.5,1,258
259,Student_259,Female,Kolkata,BBA,Economics,46,78,6,5,259
260,Student_260,Male,Delhi,BCom,English,,64,2.6,2,260
261,Student_261,Male,Kolkata,BBA,Computer,39,82,4.4,1,261
262,Student_262,Female,Kolkata,BSc,Science,61,89,5.2,4,262
263,Student_263,Male,Kolkata,BTech,Maths,46,84,5.6,4,263
264,Student_264,Male,Mumbai,BCom,English,,87,4.6,2,264
265,Student_265,Male,Delhi,BA,Science,40,93,2.4,5,265
266,Student_266,Female,Delhi,BCom,Science,39,84,2.6,4,266
267,Student_267,Female,Bangalore,BA,English,,69,1.1,4,267
268,Student_268,Female,Chennai,BCom,Maths,,73,4.8,5,268
269,Student_269,Male,Kolkata,BBA,Maths,,89,1.2,1,269
270,Student_270,Male,Pune,BBA,Economics,67,84,5.3,4,270
271,Student_271,Female,Chennai,BBA,Computer,96,73,1.6,3,271
272,Student_272,Female,Chennai,BSc,English,,94,1.9,6,272
273,Student_273,Female,Delhi,BA,English,53,93,3.4,6,273
274,Student_274,Female,Chennai,BBA,English,,69,4.7,4,274
275,Student_275,Male,Kolkata,BSc,Maths,73,94,1.7,1,275
276,Student_276,Female,Kolkata,BA,Computer,67,70,3.2,1,276
277,Student_277,Male,Mumbai,BCom,Economics,47,70,3.4,2,277
278,Student_278,Female,Kolkata,BSc,Science,,80,2.1,3,278
279,Student_279,Male,Kolkata,BTech,Science,41,80,1.6,1,279
280,Student_280,Female,Delhi,BSc,English,48,81,5.2,5,280
281,Student_281,Female,Kolkata,BSc,Computer,53,66,3.5,3,281
282,Student_282,Female,Mumbai,BA,Maths,,76,1.1,6,282
283,Student_283,Female,Pune,BCom,Computer,54,61,5,3,283
284,Student_284,Male,Delhi,BTech,Computer,63,71,5.9,5,284
285,Student_285,Female,Pune,BBA,Maths,58,77,4,4,285
286,Student_286,Male,Delhi,BBA,English,97,70,3.5,5,286
287,Student_287,Male,Bangalore,BSc,Computer,,75,5.4,5,287
288,Student_288,Male,Chennai,BA,Science,42,77,5.8,4,288
289,Student_289,Male,Bangalore,BA,Maths,96,94,4.8,4,289
290,Student_290,Female,Kolkata,BBA,Economics,63,85,3.2,4,290
291,Student_291,Male,Pune,BTech,English,,75,4,4,291
292,Student_292,Male,Kolkata,BCom,Maths,40,65,4.5,4,292
293,Student_293,Male,Chennai,BTech,Economics,92,71,2,5,293
294,Student_294,Female,Delhi,BCom,Economics,,72,3.2,2,294
295,Student_295,Female,Chennai,BBA,Computer,96,63,5.1,2,295
296,Student_296,Female,Mumbai,BCom,Computer,75,98,4.3,1,296
297,Student_297,Female,Chennai,BA,Computer,75,61,3.1,2,297
298,Student_298,Male,Mumbai,BSc,Maths,83,85,4.3,6,298
299,Student_299,Male,Chennai,BSc,Maths,83,86,1.6,2,299
300,Student_300,Female,Mumbai,BBA,English,37,86,3,5,300
301,Student_301,Male,Pune,BA,Computer,,74,5,4,301
302,Student_302,Male,Kolkata,BTech,Economics,69,67,2.1,4,302
303,Student_303,Male,Kolkata,BA,Science,36,66,1.9,5,303
304,Student_304,Female,Bangalore,BSc,English,58,99,5.8,6,304
305,Student_305,Female,Kolkata,BSc,Maths,72,71,2,2,305
306,Student_306,Male,Delhi,BA,English,56,72,2.3,5,306
307,Student_307,Female,Chennai,BA,English,,76,5.8,1,307
308,Student_308,Female,Bangalore,BSc,English,77,76,4.7,4,308
309,Student_309,Female,Delhi,BTech,English,89,95,4.5,3,309
310,Student_310,Female,Delhi,BBA,Science,73,80,5.3,1,310
311,Student_311,Female,Mumbai,BBA,Computer,63,67,1.6,6,311
312,Student_312,Male,Kolkata,BA,Economics,54,64,4.5,1,312
313,Student_313,Female,Pune,BBA,English,75,85,3.5,5,313
314,Student_314,Male,Pune,BSc,English,,75,5.1,2,314
315,Student_315,Male,Bangalore,BSc,English,54,95,3.5,4,315
316,Student_316,Female,Pune,BA,Computer,53,87,4.1,6,316
317,Student_317,Male,Chennai,BA,Maths,64,88,3.4,6,317
318,Student_318,Male,Pune,BA,Maths,,71,3.4,3,318
319,Student_319,Male,Bangalore,BTech,Science,68,96,4.8,1,319
320,Student_320,Female,Pune,BBA,Maths,56,89,4.1,3,320
321,Student_321,Female,Chennai,BA,English,40,82,4.2,2,321
322,Student_322,Male,Mumbai,BCom,English,61,75,3.3,2,322
323,Student_323,Female,Bangalore,BCom,English,,73,3.7,3,323
324,Student_324,Female,Mumbai,BSc,Science,82,69,4.7,4,324
325,Student_325,Female,Mumbai,BBA,English,,66,5.1,2,325
326,Student_326,Female,Mumbai,BA,Maths,,96,4.5,3,326
327,Student_327,Male,Delhi,BCom,Computer,36,88,5.6,1,327
328,Student_328,Male,Kolkata,BBA,Computer,63,62,5.1,3,328
329,Student_329,Female,Delhi,BSc,Economics,99,74,3.8,3,329
330,Student_330,Female,Kolkata,BTech,Maths,,95,4.4,5,330
331,Student_331,Male,Mumbai,BBA,English,,78,5.6,2,331
332,Student_332,Male,Bangalore,BBA,Computer,,72,4.1,4,332
333,Student_333,Female,Kolkata,BTech,Maths,,80,5.1,4,333
334,Student_334,Male,Chennai,BBA,Computer,56,96,4.4,5,334
335,Student_335,Female,Chennai,BSc,English,85,86,3.8,6,335
336,Student_336,Female,Pune,BSc,Computer,82,88,2.2,4,336
337,Student_337,Male,Kolkata,BTech,Economics,55,79,3.1,3,337
338,Student_338,Male,Bangalore,BA,Economics,56,84,5.8,5,338
339,Student_339,Female,Delhi,BCom,Computer,64,65,4.3,1,339
340,Student_340,Female,Mumbai,BA,Maths,,95,3.8,2,340
341,Student_341,Male,Pune,BBA,Maths,,61,5.7,2,341
342,Student_342,Female,Chennai,BCom,Maths,99,81,3.9,2,342
343,Student_343,Male,Delhi,BTech,Computer,,91,3.6,3,343
344,Student_344,Female,Delhi,BTech,Maths,41,75,4.8,1,344
345,Student_345,Male,Mumbai,BCom,English,83,77,4.6,5,345
346,Student_346,Male,Kolkata,BSc,Economics,43,64,2,5,346
347,Student_347,Male,Chennai,BCom,English,70,95,3.4,2,347
348,Student_348,Female,Bangalore,BBA,Maths,35,89,3.4,1,348
349,Student_349,Female,Delhi,BSc,English,,78,2.9,1,349
350,Student_350,Male,Mumbai,BTech,Maths,70,82,3.6,1,350
351,Student_351,Female,Bangalore,BCom,Computer,80,93,3.1,4,351
352,Student_352,Male,Kolkata,BA,English,,72,2,4,352
353,Student_353,Male,Chennai,BA,Computer,,88,3.1,2,353
354,Student_354,Female,Kolkata,BBA,Computer,40,95,1.4,1,354
355,Student_355,Female,Delhi,BA,Science,82,81,3.9,6,355
356,Student_356,Male,Bangalore,BCom,Maths,72,95,5.3,1,356
357,Student_357,Female,Bangalore,BCom,Economics,,68,4.6,5,357
358,Student_358,Female,Bangalore,BA,Maths,61,98,2.8,5,358
359,Student_359,Male,Delhi,BCom,Economics,,78,1.4,2,359
360,Student_360,Male,Delhi,BBA,Maths,,97,2,6,360
361,Student_361,Female,Kolkata,BSc,Computer,69,65,3.7,1,361
362,Student_362,Male,Pune,BBA,English,,74,2,6,362
363,Student_363,Male,Kolkata,BBA,English,,79,3.7,2,363
364,Student_364,Female,Chennai,BCom,Science,49,68,2.2,5,364
365,Student_365,Male,Mumbai,BSc,Economics,38,91,5.2,5,365
366,Student_366,Male,Bangalore,BCom,Economics,61,63,3,4,366
367,Student_367,Female,Pune,BTech,Economics,,77,2.2,2,367
368,Student_368,Female,Mumbai,BCom,Computer,53,64,5.1,2,368
369,Student_369,Male,Pune,BCom,Economics,,79,2.7,1,369
370,Student_370,Male,Kolkata,BCom,English,77,82,1.6,1,370
371,Student_371,Female,Delhi,BSc,Computer,75,70,3.9,4,371
372,Student_372,Female,Bangalore,BCom,Maths,76,96,3.9,3,372
373,Student_373,Female,Kolkata,BSc,Economics,,81,4.6,6,373
374,Student_374,Female,Mumbai,BA,Economics,74,63,2.2,3,374
375,Student_375,Male,Mumbai,BTech,Maths,73,88,3.2,3,375
376,Student_376,Female,Mumbai,BSc,Economics,57,93,2.4,2,376
377,Student_377,Female,Mumbai,BA,Maths,,72,1.4,6,377
378,Student_378,Male,Mumbai,BSc,Computer,,68,5.4,2,378
379,Student_379,Female,Pune,BSc,English,97,90,4.6,6,379
380,Student_380,Male,Kolkata,BTech,Maths,77,66,2.5,5,380
381,Student_381,Female,Bangalore,BBA,Science,82,63,4,2,381
382,Student_382,Female,Delhi,BBA,Maths,68,78,2,2,382
383,Student_383,Female,Delhi,BSc,Economics,74,89,5.5,2,383
384,Student_384,Male,Kolkata,BCom,Computer,95,90,1.6,4,384
385,Student_385,Male,Kolkata,BA,Computer,,94,1,2,385
386,Student_386,Female,Delhi,BCom,Maths,96,80,3.5,1,386
387,Student_387,Male,Delhi,BCom,English,92,90,3.9,1,387
388,Student_388,Male,Pune,BSc,Science,67,78,3.9,6,388
389,Student_389,Male,Chennai,BSc,Computer,50,90,1.3,5,389
390,Student_390,Male,Bangalore,BSc,Economics,82,91,2.6,4,390
391,Student_391,Male,Mumbai,BSc,Economics,,61,3.5,6,391
392,Student_392,Male,Chennai,BBA,English,72,69,2.1,1,392
393,Student_393,Female,Kolkata,BSc,Computer,53,61,5.4,4,393
394,Student_394,Female,Delhi,BBA,Maths,70,61,1.4,4,394
395,Student_395,Male,Chennai,BBA,Economics,,83,3.4,5,395
396,Student_396,Female,Bangalore,BSc,English,97,76,4.5,4,396
397,Student_397,Female,Kolkata,BTech,Computer,80,91,2.3,2,397
398,Student_398,Female,Mumbai,BA,Computer,37,75,4.1,4,398
399,Student_399,Female,Mumbai,BCom,Computer,99,75,5.1,5,399
400,Student_400,Male,Bangalore,BBA,Computer,42,98,2,6,400
401,Student_401,Female,Bangalore,BA,Computer,85,90,5.6,5,401
402,Student_402,Female,Delhi,BTech,Economics,40,83,3.8,5,402
403,Student_403,Male,Mumbai,BCom,English,73,60,2.5,1,403
404,Student_404,Male,Kolkata,BCom,Computer,94,70,3.2,2,404
405,Student_405,Female,Chennai,BBA,Science,,80,2.6,1,405
406,Student_406,Female,Kolkata,BSc,Science,,63,4.6,6,406
407,Student_407,Female,Pune,BTech,English,71,66,5,3,407
408,Student_408,Female,Pune,BBA,Maths,43,85,5.2,6,408
